Airline,Source,Destination,Duration,Total stops,Price,Date,Date scraped
Iberia,DUB,MAD,2h 35m,direct,€250,14/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€251,14/12/2023,05/12/2023
Iberia,DUB,MAD,2h 50m,direct,€250,14/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€256,14/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,5h 20m,1 stop,€125,14/12/2023,05/12/2023
Vueling,DUB,MAD,10h 50m,1 stop,€83,14/12/2023,05/12/2023
"Aer Lingus, Iberia",DUB,MAD,5h 45m,1 stop,€139,14/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€377,14/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€157,15/12/2023,05/12/2023
Iberia Express,DUB,MAD,2h 35m,direct,€127,15/12/2023,05/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,20h 45m,1 stop,€112,15/12/2023,05/12/2023
Vueling,DUB,MAD,2h 35m,direct,€128,15/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€136,15/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€157,15/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 35m,direct,€324,15/12/2023,05/12/2023
Iberia,DUB,MAD,2h 35m,direct,€327,15/12/2023,05/12/2023
Vueling,DUB,MAD,5h 25m,1 stop,€139,15/12/2023,05/12/2023
Aer Lingus,DUB,MAD,2h 50m,direct,€384,15/12/2023,05/12/2023
Iberia,DUB,MAD,2h 50m,direct,€435,15/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,5h 25m,1 stop,€130,15/12/2023,05/12/2023
"Vueling, Air Europa",DUB,MAD,6h 20m,1 stop,€172,15/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,7h 55m,1 stop,€144,15/12/2023,05/12/2023
"Aer Lingus, Iberia Express",DUB,MAD,8h 15m,1 stop,€150,15/12/2023,05/12/2023
"Aer Lingus, easyJet",DUB,MAD,6h 55m,1 stop,€168,15/12/2023,05/12/2023
"Vueling, Iberia",DUB,MAD,6h 25m,1 stop,€188,15/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€175,11/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€175,11/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,6h 10m,1 stop,€316,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€179,11/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 40m,1 stop,€295,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,10h 00m,2 stops,€189,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,9h 50m,2 stops,€205,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€197,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,11h 05m,2 stops,€237,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,11h 05m,2 stops,€241,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,12h 50m,2 stops,€223,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,18h 00m,2 stops,€188,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,12h 50m,3 stops,€268,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,18h 00m,2 stops,€194,11/12/2023,05/12/2023
Multiple Airlines,DUB,TFN,15h 00m,3 stops,€245,11/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 00m,1 stop,€155,12/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,8h 00m,1 stop,€139,12/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,7h 15m,1 stop,€208,12/12/2023,05/12/2023
"Aer Lingus, Vueling",DUB,TFN,7h 20m,1 stop,€225,12/12/2023,05/12/2023
"Aer Lingus, Binter Canarias",DUB,TFN,9h 00m,1 stop,€155,12/12/2023,05/12/2023
Iberia,DUB,TFN,9h 15m,1 stop,€228,12/12/2023,05/12/2023
