Airline,Duration,Total stops,Price,Date,Date scraped,Source_DUB,Source_IBZ,Source_MAD,Source_TFN,Destination_DUB,Destination_IBZ,Destination_MAD,Destination_TFN
Iberia Express,300,1,291,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Iberia Express",300,1,294,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Iberia",395,2,177,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",880,1,125,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
British Airways,280,1,410,2023-12-12,2023-05-12,1,0,0,0,0,1,0,0
Vueling,395,1,46,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
Vueling,1415,1,42,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",340,1,89,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",400,1,81,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
Vueling,540,1,70,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",545,1,81,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
Vueling,730,1,60,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Swiftair",495,2,120,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Air Europa",495,2,123,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
Multiple Airlines,495,2,126,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
Iberia,745,1,107,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Air Europa",495,2,130,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Swiftair",645,2,113,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",420,2,163,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Vueling, Air Europa",645,2,116,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",690,1,110,2023-12-13,2023-05-12,1,0,0,0,0,1,0,0
Vueling,370,1,72,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
Vueling,1390,1,51,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",305,1,99,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",340,1,93,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",400,1,93,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
Vueling,515,1,105,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
Vueling,705,1,68,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
Iberia,370,1,299,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
Iberia,300,1,357,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",545,1,93,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Iberia, Iberia Express",300,1,318,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
British Airways,370,1,354,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",990,1,82,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
"Aer Lingus, Vueling",880,1,89,2023-12-14,2023-05-12,1,0,0,0,0,1,0,0
